مشخصه,نام درس,مقطع کلاس,نظری,نوع عملی,نوع عملی,جنسیت,گروه کلاس,باقي مانده,ساعت کلاس,ساعت امتحان,ت امتحان,نام استاد,گروه بندی
91400,آزمايشگاه پايگاه داده  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0,دوشـــنبه12:00 10:30,00:00,"
  /  /  
",نيك روان شلماني عليرضا, —— 
91460,آزمايشگاه پايگاه داده  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0,يکشنـــبه16:00 14:30,00:00,"
  /  /  
",سليمي شهركي الياس, —— 
91462,آزمايشگاه پايگاه داده  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0,يکشنـــبه19:00 17:30,00:00,"
  /  /  
",سليمي شهركي الياس, —— 
91501,آزمايشگاه ريزپردازنده  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,8,شنبـــــه11:15 09:45,00:00,"
  /  /  
",الياسي علي, —— 
91466,آزمايشگاه ريزپردازنده  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,0,يکشنـــبه15:30 14:00,00:00,"
  /  /  
",شميراني حميدرضالطفعلي, —— 
91468,آزمايشگاه ريزپردازنده  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,0,چهار شنبه17:15 15:45,00:00,"
  /  /  
",اسلامي سيد علي, —— 
91353,آزمايشگاه ريزپردازنده  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,0,شنبـــــه15:30 14:00,00:00,"
  /  /  
",اسلامي سيد علي, —— 
91355,آزمايشگاه ريزپردازنده  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,0,شنبـــــه19:00 17:30,00:00,"
  /  /  
",اسلامي سيد علي, —— 
91366,آزمايشگاه سيستم هاي عامل  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,0,دوشـــنبه09:30 08:00,00:00,"
  /  /  
",حريفي ساسان, —— 
91397,آزمايشگاه سيستم هاي عامل  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,0,دوشـــنبه12:30 11:00,00:00,"
  /  /  
",حريفي ساسان, —— 
91401,آزمايشگاه پايگاه داده  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0,دوشـــنبه14:00 12:30,00:00,"
  /  /  
",نيك روان شلماني عليرضا, —— 
91461,آزمايشگاه پايگاه داده  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,0,يکشنـــبه17:30 16:00,00:00,"
  /  /  
",سليمي شهركي الياس, —— 
91522,آزمايشگاه پايگاه داده  ,کارشناسي,  0,تخصصي,تخصصي,مختلط, ,10,پنج شنـبه12:30 11:00,00:00,"
  /  /  
",خليليان مجيد, —— 
91502,آزمايشگاه ريزپردازنده  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,6,شنبـــــه13:00 11:30,00:00,"
  /  /  
",الياسي علي, —— 
91467,آزمايشگاه ريزپردازنده  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,-1,چهار شنبه15:30 14:00,00:00,"
  /  /  
",اسلامي سيد علي, —— 
91469,آزمايشگاه ريزپردازنده  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,0,چهار شنبه19:00 17:30,00:00,"
  /  /  
",اسلامي سيد علي, —— 
91354,آزمايشگاه ريزپردازنده  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,0,شنبـــــه17:15 15:45,00:00,"
  /  /  
",اسلامي سيد علي, —— 
91359,آزمايشگاه ريزپردازنده  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,0,يکشنـــبه19:00 17:30,00:00,"
  /  /  
",اسلامي سيد علي, —— 
91367,آزمايشگاه سيستم هاي عامل  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,0,دوشـــنبه11:00 09:30,00:00,"
  /  /  
",حريفي ساسان, —— 
91398,آزمايشگاه سيستم هاي عامل  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,0,پنج شنـبه09:30 08:00,00:00,"
  /  /  
",محمدزاده جواد, —— 
91399,آزمايشگاه سيستم هاي عامل  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,0,پنج شنـبه11:00 09:30,00:00,"
  /  /  
",محمدزاده جواد, —— 
91373,آزمايشگاه شبكه هاي كامپيوتري  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,0,دوشـــنبه11:15 09:45,00:00,"
  /  /  
",عابدي پروين, —— 
91375,آزمايشگاه شبكه هاي كامپيوتري  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,2,پنج شنـبه14:30 13:00,00:00,"
  /  /  
",فيلي مريم, —— 
91377,آزمايشگاه شبكه هاي كامپيوتري  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,1,چهار شنبه11:15 09:45,00:00,"
  /  /  
",فرج پور ليدا, —— 
10022,آزمايشگاه فيزيك (1)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,شنبـــــه09:30 08:00,00:00,"
  /  /  
",خسرواني شيما, —— 
10024,آزمايشگاه فيزيك (1)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,شنبـــــه15:30 14:00,00:00,"
  /  /  
",خسرواني شيما, —— 
10032,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,شنبـــــه13:00 11:30,00:00,"
  /  /  
",شايگان مهر سيده مينا, —— 
10036,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,يکشنـــبه13:00 11:30,00:00,"
  /  /  
",آقازاده مريم, —— 
10040,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,دوشـــنبه13:00 11:30,00:00,"
  /  /  
",آقازاده مريم, —— 
10042,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,سه شنبــه13:00 11:30,00:00,"
  /  /  
",آقازاده مريم, —— 
91372,آزمايشگاه شبكه هاي كامپيوتري  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,0,دوشـــنبه09:30 08:00,00:00,"
  /  /  
",عابدي پروين, —— 
91374,آزمايشگاه شبكه هاي كامپيوتري  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,0,دوشـــنبه13:00 11:30,00:00,"
  /  /  
",عابدي پروين, —— 
91376,آزمايشگاه شبكه هاي كامپيوتري  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,0,چهار شنبه09:30 08:00,00:00,"
  /  /  
",فرج پور ليدا, —— 
91378,آزمايشگاه شبكه هاي كامپيوتري  ,کارشناسي,  0,اصلي,اصلي,مختلط, ,0,چهار شنبه13:00 11:30,00:00,"
  /  /  
",فرج پور ليدا, —— 
10023,آزمايشگاه فيزيك (1)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,شنبـــــه11:15 09:45,00:00,"
  /  /  
",خسرواني شيما, —— 
10031,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,شنبـــــه09:30 08:00,00:00,"
  /  /  
",شايگان مهر سيده مينا, —— 
10035,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,يکشنـــبه09:30 08:00,00:00,"
  /  /  
",آقازاده مريم, —— 
10039,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,دوشـــنبه09:30 08:00,00:00,"
  /  /  
",آقازاده مريم, —— 
10041,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,سه شنبــه09:30 08:00,00:00,"
  /  /  
",آقازاده مريم, —— 
10043,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,چهار شنبه09:30 08:00,00:00,"
  /  /  
",حاج اكبري فاطمه, —— 
11027,آزمايشگاه فيزيك (2)  ,کارشناسي,  0,پايه,پايه,مختلط, ,0,شنبـــــه11:15 09:45,00:00,"
  /  /  
",حاج اكبري فاطمه, —— 
